epsilon2	better_prob	prob_branch	mean_resolved	mean_closed_nn	mean_closed_nnHybrid	mean_closed_1Tree	mean_closed_subgradient	mean_total_time	mean_time_bb	mean_time_to_best	mean_bbnodes_before_best	mean_fixed_edges	mean_total_tree_level	mean_generate_bbnodes	mean_explored_bbnodes	mean_best_level	mean_prob_best	mean_best_value	mean_mandatory_edges	mean_forbidden_edges
0.2	0.1	0.5	100.0	0.0	89.0	0.0	11.0	0.13431432008743285	0.12321288	0.057327609999999994	14.12	1987.57	3.0	35.14	25.82	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.1	0.6	100.0	0.0	89.0	0.0	11.0	0.13462377309799195	0.12368312000000006	0.05730836	14.12	1987.57	3.0	35.14	25.82	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.1	0.7	100.0	0.0	89.0	0.0	11.0	0.13559247732162474	0.12440530000000001	0.05799684	14.12	1987.57	3.0	35.14	25.82	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.1	0.8	100.0	0.0	89.0	0.0	11.0	0.1360274863243103	0.12475289999999997	0.057892980000000004	14.12	1987.57	3.0	35.14	25.82	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.1	0.9	100.0	0.0	89.0	0.0	11.0	0.21031809568405152	0.1920114199999999	0.08819768	14.11	1995.31	3.0	35.1	25.78	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.2	0.5	100.0	0.0	89.0	0.0	11.0	0.1847555136680603	0.16506873000000005	0.07032485	13.28	1974.7	3.0	34.66	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.2	0.6	100.0	0.0	89.0	0.0	11.0	0.19474164724349977	0.17643052999999997	0.08244516	13.28	1974.7	3.0	34.66	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.2	0.7	100.0	0.0	89.0	0.0	11.0	0.18222941875457763	0.16542081	0.07042671000000002	13.28	1974.7	3.0	34.66	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.2	0.8	100.0	0.0	89.0	0.0	11.0	0.1778805947303772	0.16134720000000002	0.08382017999999998	13.28	1974.7	3.0	34.66	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.2	0.9	100.0	0.0	89.0	0.0	11.0	0.19178543567657472	0.17088446999999998	0.07430091	13.27	1974.39	3.0	34.62	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.3	0.5	100.0	0.0	89.0	0.0	11.0	0.16296211004257202	0.14930330999999997	0.06847903999999999	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.3	0.6	100.0	0.0	89.0	0.0	11.0	0.16942306518554687	0.15476115000000001	0.07295683000000003	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.3	0.7	100.0	0.0	89.0	0.0	11.0	0.17264555931091308	0.15960975000000002	0.0774128	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.3	0.8	100.0	0.0	89.0	0.0	11.0	0.16527307271957398	0.15271257000000005	0.07271596000000001	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.3	0.9	100.0	0.0	89.0	0.0	11.0	0.14555612564086914	0.13342007	0.06091341	13.11	1973.75	3.0	34.54	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.4	0.5	100.0	0.0	89.0	0.0	11.0	0.15334566354751586	0.14090076000000004	0.06374411	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.4	0.6	100.0	0.0	89.0	0.0	11.0	0.156394579410553	0.14356506999999993	0.06401658	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.4	0.7	100.0	0.0	89.0	0.0	11.0	0.15146109342575073	0.13938097000000005	0.06480248999999999	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.4	0.8	100.0	0.0	89.0	0.0	11.0	0.14709775447845458	0.13455693	0.061712989999999995	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.4	0.9	100.0	0.0	89.0	0.0	11.0	0.1754253077507019	0.1625271199999999	0.07169107999999999	13.11	1973.75	3.0	34.54	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.5	0.5	100.0	0.0	89.0	0.0	11.0	0.1498555064201355	0.13784949000000002	0.06253207000000001	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.5	0.6	100.0	0.0	89.0	0.0	11.0	0.1767307376861572	0.16139724	0.07444192	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.5	0.7	100.0	0.0	89.0	0.0	11.0	0.1597880554199219	0.14745722	0.06934377	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.5	0.8	100.0	0.0	89.0	0.0	11.0	0.16078490734100342	0.14854924	0.06807349000000001	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.2	0.5	0.9	100.0	0.0	89.0	0.0	11.0	0.1627795910835266	0.14911338000000005	0.06755362000000002	13.11	1973.75	3.0	34.54	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
