Time,Hybrid,Classic
0.034528176391601564,0.0,0.001
0.03472482539367676,0.0,0.002
0.035063902938842775,0.0,0.003
0.03507863856506348,0.0,0.004
0.035373608673095705,0.0,0.005
0.03545490940856934,0.0,0.006
0.03557855599975586,0.0,0.007
0.03558365544128418,0.0,0.008
0.0356175108795166,0.0,0.009
0.03568446017456055,0.0,0.01
0.03572093821716309,0.0,0.011
0.03587686396789551,0.0,0.012
0.03587786396789551,0.0,0.013
0.03593141549682617,0.0,0.014
0.03593899856567383,0.0,0.015
0.03594634321594238,0.0,0.016
0.036009186279296876,0.0,0.017
0.03606406887817383,0.0,0.018
0.03609196385192871,0.0,0.019
0.03611671305847168,0.0,0.02
0.03612334245300293,0.0,0.021
0.03615872105407715,0.0,0.022
0.03617178775024414,0.0,0.023
0.036173695098876954,0.0,0.024
0.03621114039611816,0.0,0.025
0.03627979136657715,0.0,0.026
0.03630077220153809,0.0,0.027
0.03631450782775879,0.0,0.028
0.0363169383392334,0.0,0.029
0.03633644233703613,0.0,0.03
0.03640376902770996,0.0,0.031
0.03642098149108887,0.0,0.032
0.03642747869873047,0.0,0.033
0.036500659622192386,0.0,0.034
0.03652960771179199,0.0,0.035
0.03657952984619141,0.0,0.036
0.03660432537841797,0.0,0.037
0.036619299423217774,0.0,0.038
0.0366228757019043,0.0,0.039
0.03664920118713379,0.0,0.04
0.03666745997619629,0.0,0.041
0.036678904067993165,0.0,0.042
0.03671800471496582,0.0,0.043
0.03673445559692383,0.0,0.044
0.03673876071166992,0.0,0.045
0.036761065826416015,0.0,0.046
0.036778086196899415,0.0,0.047
0.036780185638427734,0.0,0.048
0.036814133728027346,0.0,0.049
0.03683283660888672,0.0,0.05
0.03684460498046875,0.0,0.051
0.03689991809082031,0.0,0.052
0.03692166050720215,0.0,0.053
0.03693901873779297,0.0,0.054
0.03696166850280762,0.0,0.055
0.0369745894317627,0.0,0.056
0.036995808685302736,0.0,0.057
0.03701030589294434,0.0,0.058
0.03709403713989258,0.0,0.059
0.037104050720214846,0.0,0.06
0.037134998809814454,0.0,0.061
0.03718172885131836,0.0,0.062
0.03722016056823731,0.0,0.063
0.03724638661193848,0.0,0.064
0.03724973126220703,0.0,0.065
0.03725616177368164,0.0,0.066
0.03726059907531738,0.0,0.067
0.03727471209716797,0.0,0.068
0.037280195724487306,0.0,0.069
0.03728491777038574,0.0,0.07
0.03729876641845703,0.0,0.071
0.03729926921081543,0.0,0.072
0.03733270092773437,0.0,0.073
0.03737556315612793,0.0,0.074
0.037390106689453126,0.0,0.075
0.03741147171020508,0.0,0.076
0.037432068359375,0.0,0.077
0.03748175886535644,0.0,0.078
0.037491388259887695,0.0,0.079
0.03752457476806641,0.0,0.08
0.037528866302490235,0.0,0.081
0.03752891941833496,0.0,0.082
0.037572543228149416,0.0,0.083
0.03758623931884766,0.0,0.084
