
Reading from file '/home/lorenzosciandra/Documenti/Code/GithubProjects/HybridTSPSolver/src/HybridSolver/data/AdjacencyMatrix/tsp_100_nodes/tsp_test_36.csv'

Writing to file '/home/lorenzosciandra/Documenti/Code/GithubProjects/HybridTSPSolver/src/HybridSolver/results/AdjacencyMatrix/tsp_100_nodes_hybrid/tsp_result_36.txt'
CAsi
Optimal tour found with candidate node = 68, elapsed time = 0.363805s and interrupted = FALSE

B-&-B tree with generated BBNodes = 1,  explored BBNodes = 1 and max tree level = 0

Number of fixed edges = 0

SUBPROBLEM with cost = 7.915858, type = CLOSED_NEW_BEST, level of the BB tree = 0, prob = 0.995448, BBNode number = 1 and time to obtain = 0.009748s
MST or 1-Tree with cost: 1.321202 and validity = TRUE
Edge4344: 64 <--> 88 weight = 0.073940 prob = 0.992777
Edge1487: 16 <--> 39 weight = 0.078241 prob = 0.990753
Edge3598: 47 <--> 73 weight = 0.164317 prob = 0.983864
Edge3406: 43 <--> 95 weight = 0.083998 prob = 1.000000
Edge1900: 21 <--> 52 weight = 0.057907 prob = 1.000000
Edge813: 8 <--> 57 weight = 0.193634 prob = 0.975549
Edge3857: 52 <--> 87 weight = 0.110208 prob = 1.000000
Edge3278: 41 <--> 80 weight = 0.043680 prob = 1.000000
Edge2979: 36 <--> 81 weight = 0.118639 prob = 1.000000
Edge3268: 41 <--> 70 weight = 0.040727 prob = 1.000000
Edge2247: 25 <--> 97 weight = 0.088332 prob = 1.000000
Edge4765: 80 <--> 85 weight = 0.079202 prob = 0.999620
Edge4636: 74 <--> 85 weight = 0.074526 prob = 0.999992
Edge4464: 68 <--> 78 weight = 0.145473 prob = 1.000000
Edge4461: 68 <--> 75 weight = 0.159152 prob = 0.999465

Cycle with 100 edges:  68 <-> 78   74 <-> 78   74 <-> 85   80 <-> 85   41 <-> 80   41 <-> 70   70 <-> 83   83 <-> 84   67 <-> 84   67 <-> 76   25 <-> 76   25 <-> 97   21 <-> 97   21 <-> 52   52 <-> 87   32 <-> 87   24 <-> 32   19 <-> 24   19 <-> 81   36 <-> 81   36 <-> 43   43 <-> 95   57 <-> 95   8 <-> 57   8 <-> 86   58 <-> 86   14 <-> 58   9 <-> 14   9 <-> 11   11 <-> 79   2 <-> 79   2 <-> 17   3 <-> 17   3 <-> 7   7 <-> 45   45 <-> 54   12 <-> 54   12 <-> 48   48 <-> 77   77 <-> 92   40 <-> 92   37 <-> 40   29 <-> 37   29 <-> 65   46 <-> 65   23 <-> 46   23 <-> 69   35 <-> 69   16 <-> 35   16 <-> 39   39 <-> 59   59 <-> 88   64 <-> 88   55 <-> 64   4 <-> 55   1 <-> 4   1 <-> 51   51 <-> 89   15 <-> 89   15 <-> 98   73 <-> 98   47 <-> 73   26 <-> 47   26 <-> 56   18 <-> 56   18 <-> 38   31 <-> 38   31 <-> 66   28 <-> 66   28 <-> 94   94 <-> 96   82 <-> 96   62 <-> 82   13 <-> 62   0 <-> 13   0 <-> 93   91 <-> 93   61 <-> 91   10 <-> 61   10 <-> 42   42 <-> 60   33 <-> 60   33 <-> 44   34 <-> 44   30 <-> 34   30 <-> 49   49 <-> 71   6 <-> 71   6 <-> 90   72 <-> 90   53 <-> 72   20 <-> 53   20 <-> 22   22 <-> 50   50 <-> 63   5 <-> 63   5 <-> 99   27 <-> 99   27 <-> 75   68 <-> 75 
0 Mandatory edges
0 Forbidden edges
Time taken: 5.6852991580963135s
